Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-abh9,randomiser-stbs,order-rli1,order-ey94,order-zozi,order-ehv4,branch-bm4f,branch-kt5o,Randomise questionnaire elements?,Question Key,Response
4,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062611,BLIND,9209731,,complete,ppzmql,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1423x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,BCA,elimination correct,distraction correct,No,Gender,Female
5,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062611,BLIND,9209731,,complete,ppzmql,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1423x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,BCA,elimination correct,distraction correct,No,Gender-quantised,2
6,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062611,BLIND,9209731,,complete,ppzmql,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1423x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,BCA,elimination correct,distraction correct,No,Gender-text,
7,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062611,BLIND,9209731,,complete,ppzmql,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1423x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,BCA,elimination correct,distraction correct,No,seizures,1
8,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062611,BLIND,9209731,,complete,ppzmql,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1423x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,BCA,elimination correct,distraction correct,No,device,1
9,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062611,BLIND,9209731,,complete,ppzmql,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1423x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,BCA,elimination correct,distraction correct,No,consent,1
10,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062611,BLIND,9209731,,complete,ppzmql,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1423x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,BCA,elimination correct,distraction correct,No,END QUESTIONNAIRE,172844
1,1.69121E+12,5/8/2023 4:09,1.69121E+12,-7,4/8/2023 21:09,140076,1,questionnaire-ob8q,,31062629,BLIND,9209739,,complete,towvgs,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1920x955,,,,Consent + Demographic Qs,4,Accept old,CounterbalanceA,BCA,BCA,,,elimination correct,distraction correct,No,BEGIN QUESTIONNAIRE,
2,1.69121E+12,5/8/2023 4:09,1.69121E+12,-7,4/8/2023 21:09,140076,1,questionnaire-ob8q,,31062629,BLIND,9209739,,complete,towvgs,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1903x955,,,,Consent + Demographic Qs,4,Accept old,CounterbalanceA,BCA,BCA,,,elimination correct,distraction correct,No,Age,Older than 50
3,1.69121E+12,5/8/2023 4:09,1.69121E+12,-7,4/8/2023 21:09,140076,1,questionnaire-ob8q,,31062629,BLIND,9209739,,complete,towvgs,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1903x955,,,,Consent + Demographic Qs,4,Accept old,CounterbalanceA,BCA,BCA,,,elimination correct,distraction correct,No,Age-quantised,35
