"","PID","condition_1","Participant.Status","condOrder","Zone.Type","ratings","condition_2"
"255214",5128700,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","-3","multiple 24 neutral"
"26581",5122707,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","3","multiple 24 neutral"
"27463",5122707,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","-10","multiple 8 neutral"
"28264",5122707,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","5","noD 0 trial"
"297814",5122707,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","3","multiple 72 neutral"
"30685",5075757,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","3","multiple 8 neutral"
"31722",5075757,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","-5","multiple 24 neutral"
"32524",5075757,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","-5","noD 0 trial"
"340414",5075757,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","-5","multiple 72 neutral"
"34862",5181977,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","3","noD 0 trial"
"35745",5181977,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","2","multiple 8 neutral"
"36784",5181977,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","-3","multiple 24 neutral"
"383012",5181977,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","2","multiple 72 neutral"
"3912",5175385,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","5","noD 0 trial"
"4016",5175385,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","2","multiple 24 neutral"
"4168",5175385,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","2","multiple 72 neutral"
"42562",5175385,"Trash_Multiple_Neutral","complete","ESM","response_slider_endValue","6","multiple 8 neutral"
"783",5240494,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","10","noD 0 trial"
"1822",5240494,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","10","multiple 24 positive"
"3345",5240494,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","10","multiple 72 positive"
"42216",5240494,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","10","multiple 8 positive"
"5284",5191080,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","-1","multiple 24 positive"
