"","PID","condition_1","Participant.Status","condOrder","Zone.Type","ratings","condition_2"
"34041",5089633,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","3","multiple 72 positive"
"35101",5056919,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","8","multiple 24 positive"
"3598",5056919,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","-6","multiple 8 positive"
"36781",5056919,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","-5","noD 0 trial"
"38301",5056919,"Trash_Multiple_Positive","complete","EMS","response_slider_endValue","-8","multiple 72 positive"
"861",5241123,"Empty_Negative","complete","MES","response_slider_endValue","-5","empty 8"
"238",5241123,"Empty_Negative","complete","MES","response_slider_endValue","-6","empty 72"
"3423",5241123,"Empty_Negative","complete","MES","response_slider_endValue","-9","empty 24"
"4321",5189480,"Empty_Negative","complete","MES","response_slider_endValue","10","empty 8"
"5841",5189480,"Empty_Negative","complete","MES","response_slider_endValue","10","empty 72"
"6883",5189480,"Empty_Negative","complete","MES","response_slider_endValue","10","empty 24"
"7941",5175997,"Empty_Negative","complete","MES","response_slider_endValue","10","empty 24"
"8822",5175997,"Empty_Negative","complete","MES","response_slider_endValue","10","empty 8"
"10344",5175997,"Empty_Negative","complete","MES","response_slider_endValue","-6","empty 72"
"1124",5162544,"Empty_Negative","complete","MES","response_slider_endValue","1","empty 8"
"12281",5162544,"Empty_Negative","complete","MES","response_slider_endValue","2","empty 24"
"13804",5162544,"Empty_Negative","complete","MES","response_slider_endValue","2","empty 72"
"1534",5122669,"Empty_Negative","complete","MES","response_slider_endValue","2","empty 72"
"1622",5122669,"Empty_Negative","complete","MES","response_slider_endValue","1","empty 8"
"17263",5122669,"Empty_Negative","complete","MES","response_slider_endValue","1","empty 24"
"1816",5122214,"Empty_Negative","complete","MES","response_slider_endValue","-4","empty 8"
"19202",5122214,"Empty_Negative","complete","MES","response_slider_endValue","-4","empty 24"
"20723",5122214,"Empty_Negative","complete","MES","response_slider_endValue","1","empty 72"
"22261",5059559,"Empty_Negative","complete","MES","response_slider_endValue","8","empty 72"
"2330",5059559,"Empty_Negative","complete","MES","response_slider_endValue","4","empty 24"
"24183",5059559,"Empty_Negative","complete","MES","response_slider_endValue","2","empty 8"
"2508",5123425,"Empty_Negative","complete","MES","response_slider_endValue","10","empty 8"
"26122",5123425,"Empty_Negative","complete","MES","response_slider_endValue","-4","empty 24"
"27643",5123425,"Empty_Negative","complete","MES","response_slider_endValue","3","empty 72"
"862",5241123,"Empty_Positive","complete","MES","response_slider_endValue","7","empty 8 positive"
"1901",5241123,"Empty_Positive","complete","MES","response_slider_endValue","3","empty 24 positive"
"3424",5241123,"Empty_Positive","complete","MES","response_slider_endValue","7","empty 72 positive"
"4482",5189480,"Empty_Positive","complete","MES","response_slider_endValue","10","empty 24 positive"
"5361",5189480,"Empty_Positive","complete","MES","response_slider_endValue","10","empty 8 positive"
"6884",5189480,"Empty_Positive","complete","MES","response_slider_endValue","10","empty 72 positive"
"7942",5175997,"Empty_Positive","complete","MES","response_slider_endValue","5","empty 24 positive"
"9461",5175997,"Empty_Positive","complete","MES","response_slider_endValue","10","empty 72 positive"
"10345",5175997,"Empty_Positive","complete","MES","response_slider_endValue","10","empty 8 positive"
"11882",5162544,"Empty_Positive","complete","MES","response_slider_endValue","4","empty 72 positive"
"12761",5162544,"Empty_Positive","complete","MES","response_slider_endValue","5","empty 8 positive"
"13805",5162544,"Empty_Positive","complete","MES","response_slider_endValue","6","empty 24 positive"
"14863",5123425,"Empty_Positive","complete","MES","response_slider_endValue","4","empty 24 positive"
"16383",5123425,"Empty_Positive","complete","MES","response_slider_endValue","-2","empty 72 positive"
"17264",5123425,"Empty_Positive","complete","MES","response_slider_endValue","-3","empty 8 positive"
"1880",5122669,"Empty_Positive","complete","MES","response_slider_endValue","7","empty 72 positive"
"19841",5122669,"Empty_Positive","complete","MES","response_slider_endValue","4","empty 24 positive"
"20724",5122669,"Empty_Positive","complete","MES","response_slider_endValue","8","empty 8 positive"
"22262",5122214,"Empty_Positive","complete","MES","response_slider_endValue","9","empty 72 positive"
"23142",5122214,"Empty_Positive","complete","MES","response_slider_endValue","4","empty 8 positive"
"24184",5122214,"Empty_Positive","complete","MES","response_slider_endValue","3","empty 24 positive"
"25081",5059559,"Empty_Positive","complete","MES","response_slider_endValue","-4","empty 8 positive"
"2660",5059559,"Empty_Positive","complete","MES","response_slider_endValue","-4","empty 72 positive"
"27644",5059559,"Empty_Positive","complete","MES","response_slider_endValue","5","empty 24 positive"
"1503",5240494,"Empty_Negative","complete","SEM","response_slider_endValue","10","empty 72"
"2542",5240494,"Empty_Negative","complete","SEM","response_slider_endValue","10","empty 24"
"3425",5240494,"Empty_Negative","complete","SEM","response_slider_endValue","10","empty 8"
"496",5191080,"Empty_Negative","complete","SEM","response_slider_endValue","4","empty 72"
"5842",5191080,"Empty_Negative","complete","SEM","response_slider_endValue","8","empty 8"
"6885",5191080,"Empty_Negative","complete","SEM","response_slider_endValue","1","empty 24"
"842",5190763,"Empty_Negative","complete","SEM","response_slider_endValue","5","empty 72"
"9462",5190763,"Empty_Negative","complete","SEM","response_slider_endValue","5","empty 24"
"10346",5190763,"Empty_Negative","complete","SEM","response_slider_endValue","5","empty 8"
"11241",5181767,"Empty_Negative","complete","SEM","response_slider_endValue","7","empty 8"
"12762",5181767,"Empty_Negative","complete","SEM","response_slider_endValue","9","empty 72"
"13806",5181767,"Empty_Negative","complete","SEM","response_slider_endValue","-3","empty 24"
"15341",5169528,"Empty_Negative","complete","SEM","response_slider_endValue","2","empty 72"
"16221",5169528,"Empty_Negative","complete","SEM","response_slider_endValue","2","empty 8"
"17265",5169528,"Empty_Negative","complete","SEM","response_slider_endValue","1","empty 24"
"18161",5132094,"Empty_Negative","complete","SEM","response_slider_endValue","10","empty 8"
"1968",5132094,"Empty_Negative","complete","SEM","response_slider_endValue","10","empty 72"
"20725",5132094,"Empty_Negative","complete","SEM","response_slider_endValue","10","empty 24"
"21781",5123496,"Empty_Negative","complete","SEM","response_slider_endValue","-8","empty 24"
"23301",5123496,"Empty_Negative","complete","SEM","response_slider_endValue","-8","empty 72"
"24185",5123496,"Empty_Negative","complete","SEM","response_slider_endValue","-8","empty 8"
"25082",5122418,"Empty_Negative","complete","SEM","response_slider_endValue","1","empty 8"
"26123",5122418,"Empty_Negative","complete","SEM","response_slider_endValue","2","empty 24"
"27645",5122418,"Empty_Negative","complete","SEM","response_slider_endValue","2","empty 72"
"29181",5061833,"Empty_Negative","complete","SEM","response_slider_endValue","2","empty 72"
"3022",5061833,"Empty_Negative","complete","SEM","response_slider_endValue","1","empty 24"
"31103",5061833,"Empty_Negative","complete","SEM","response_slider_endValue","1","empty 8"
"32642",5056505,"Empty_Negative","complete","SEM","response_slider_endValue","4","empty 72"
"33681",5056505,"Empty_Negative","complete","SEM","response_slider_endValue","3","empty 24"
"34562",5056505,"Empty_Negative","complete","SEM","response_slider_endValue","5","empty 8"
"3562",5151772,"Empty_Negative","complete","SEM","response_slider_endValue","-5","empty 24"
"3650",5151772,"Empty_Negative","complete","SEM","response_slider_endValue","3","empty 8"
"3802",5151772,"Empty_Negative","complete","SEM","response_slider_endValue","-4","empty 72"
"863",5232868,"Empty_Positive","complete","SME","response_slider_endValue","4","empty 8 positive"
"2381",5232868,"Empty_Positive","complete","SME","response_slider_endValue","4","empty 72 positive"
"3426",5232868,"Empty_Positive","complete","SME","response_slider_endValue","3","empty 24 positive"
"4961",5239848,"Empty_Positive","complete","SME","response_slider_endValue","5","empty 72 positive"
"5843",5239848,"Empty_Positive","complete","SME","response_slider_endValue","7","empty 8 positive"
"6886",5239848,"Empty_Positive","complete","SME","response_slider_endValue","7","empty 24 positive"
"8421",5184376,"Empty_Positive","complete","SME","response_slider_endValue","3","empty 72 positive"
"9463",5184376,"Empty_Positive","complete","SME","response_slider_endValue","6","empty 24 positive"
"10347",5184376,"Empty_Positive","complete","SME","response_slider_endValue","7","empty 8 positive"
"11242",5163151,"Empty_Positive","complete","SME","response_slider_endValue","6","empty 8 positive"
"12282",5163151,"Empty_Positive","complete","SME","response_slider_endValue","5","empty 24 positive"
"13807",5163151,"Empty_Positive","complete","SME","response_slider_endValue","6","empty 72 positive"
"15342",5132531,"Empty_Positive","complete","SME","response_slider_endValue","10","empty 72 positive"
"16384",5132531,"Empty_Positive","complete","SME","response_slider_endValue","8","empty 24 positive"
"17266",5132531,"Empty_Positive","complete","SME","response_slider_endValue","7","empty 8 positive"
"18323",5122890,"Empty_Positive","complete","SME","response_slider_endValue","7","empty 24 positive"
"19203",5122890,"Empty_Positive","complete","SME","response_slider_endValue","7","empty 8 positive"
"20726",5122890,"Empty_Positive","complete","SME","response_slider_endValue","0","empty 72 positive"
"21782",5059700,"Empty_Positive","complete","SME","response_slider_endValue","10","empty 24 positive"
"23302",5059700,"Empty_Positive","complete","SME","response_slider_endValue","10","empty 72 positive"
"24186",5059700,"Empty_Positive","complete","SME","response_slider_endValue","10","empty 8 positive"
"25083",5056786,"Empty_Positive","complete","SME","response_slider_endValue","5","empty 8 positive"
"26601",5056786,"Empty_Positive","complete","SME","response_slider_endValue","6","empty 72 positive"
"27646",5056786,"Empty_Positive","complete","SME","response_slider_endValue","4","empty 24 positive"
"29182",5175439,"Empty_Positive","complete","SME","response_slider_endValue","-10","empty 72 positive"
"30221",5175439,"Empty_Positive","complete","SME","response_slider_endValue","5","empty 24 positive"
"31104",5175439,"Empty_Positive","complete","SME","response_slider_endValue","-10","empty 8 positive"
"1504",5229638,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","6","single 72 neutral"
"2543",5229638,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","-6","single 24 neutral"
"3427",5229638,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","2","single 8 neutral"
"4322",5189782,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","10","single 8 neutral"
"5844",5189782,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","10","single 72 neutral"
"6887",5189782,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","10","single 24 neutral"
"7782",5186617,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","8","single 8 neutral"
"9301",5186617,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","7","single 72 neutral"
"10348",5186617,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","3","single 24 neutral"
"11243",5180420,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","5","single 8 neutral"
"12283",5180420,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","4","single 24 neutral"
"13808",5180420,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","6","single 72 neutral"
"15343",5153387,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","10","single 72 neutral"
"16385",5153387,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","10","single 24 neutral"
"17267",5153387,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","10","single 8 neutral"
"18801",5132547,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","0","single 72 neutral"
"19681",5132547,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","-2","single 8 neutral"
"20727",5132547,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","-4","single 24 neutral"
"21783",5123283,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","6","single 24 neutral"
"23303",5123283,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","5","single 72 neutral"
"24187",5123283,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","2","single 8 neutral"
"25243",5122145,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","4","single 24 neutral"
"26124",5122145,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","3","single 8 neutral"
"27647",5122145,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","8","single 72 neutral"
"29183",5057499,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","3","single 72 neutral"
"30222",5057499,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","6","single 24 neutral"
"31105",5057499,"Trash_Single_Neutral","complete","MSE","response_slider_endValue","-2","single 8 neutral"
"102",5122669,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","8","multiple 24 positive"
"1902",5122669,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","9","multiple 8 positive"
"3428",5122669,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","5","multiple 72 positive"
"4222",5122669,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","3","noD 0 trial"
"528",5241123,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","7","multiple 24 positive"
"6801",5241123,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","5","multiple 72 positive"
"7681",5241123,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","6","multiple 8 positive"
"8482",5241123,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","9","noD 0 trial"
"1002",5189480,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","10","multiple 72 positive"
"1106",5189480,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","10","multiple 24 positive"
"11861",5189480,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","10","noD 0 trial"
"12742",5189480,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","10","multiple 8 positive"
"1364",5175997,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","10","multiple 8 positive"
"1444",5175997,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","-5","noD 0 trial"
"1596",5175997,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","10","multiple 72 positive"
"17002",5175997,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","7","multiple 24 positive"
"18061",5162544,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","8","multiple 24 positive"
"1958",5162544,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","5","multiple 72 positive"
"2046",5162544,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","8","multiple 8 positive"
"21262",5162544,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","5","noD 0 trial"
"2208",5123425,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","8","noD 0 trial"
"2312",5123425,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","-3","multiple 24 positive"
"2400",5123425,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","4","multiple 8 positive"
"25522",5123425,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","-7","multiple 72 positive"
"2634",5122214,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","3","noD 0 trial"
"27221",5122214,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","-3","multiple 8 positive"
"28261",5122214,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","-3","multiple 24 positive"
"29782",5122214,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","10","multiple 72 positive"
"30841",5059559,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","9","multiple 24 positive"
"3164",5059559,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","5","noD 0 trial"
"32521",5059559,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","2","multiple 8 positive"
"34042",5059559,"Trash_Multiple_Positive","complete","MES","response_slider_endValue","6","multiple 72 positive"
"1505",5128700,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","4","multiple 72 positive"
"2382",5128700,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-3","multiple 8 positive"
"318",5128700,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","1","noD 0 trial"
"4223",5128700,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-6","multiple 24 positive"
"5281",5122707,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","3","multiple 24 positive"
"681",5122707,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-9","multiple 72 positive"
"761",5122707,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-6","noD 0 trial"
"849",5122707,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-4","multiple 8 positive"
"1003",5075757,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-4","multiple 72 positive"
"1091",5075757,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-4","multiple 8 positive"
"1171",5075757,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-3","noD 0 trial"
"1275",5075757,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-5","multiple 24 positive"
"1381",5241953,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","2","multiple 24 positive"
"1461",5241953,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-5","noD 0 trial"
"1613",5241953,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-6","multiple 72 positive"
"1701",5241953,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-1","multiple 8 positive"
"1807",5181977,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-5","multiple 24 positive"
"1887",5181977,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","7","noD 0 trial"
"1975",5181977,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","5","multiple 8 positive"
"2127",5181977,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-6","multiple 72 positive"
"2217",5175385,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","6","multiple 8 positive"
"2369",5175385,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","5","multiple 72 positive"
"2449",5175385,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","7","noD 0 trial"
"2553",5175385,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","4","multiple 24 positive"
"2659",5139418,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","4","multiple 24 positive"
"2747",5139418,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","4","multiple 8 positive"
"2827",5139418,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","5","noD 0 trial"
"2979",5139418,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","6","multiple 72 positive"
"3061",5190863,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-9","noD 0 trial"
"3149",5190863,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-8","multiple 8 positive"
"3301",5190863,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-8","multiple 72 positive"
"3405",5190863,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-8","multiple 24 positive"
"3511",5228305,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","2","multiple 24 positive"
"3663",5228305,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","0","multiple 72 positive"
"3743",5228305,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","3","noD 0 trial"
"3831",5228305,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-1","multiple 8 positive"
"3913",5187657,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-4","noD 0 trial"
"4001",5187657,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","2","multiple 8 positive"
"4105",5187657,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","-6","multiple 24 positive"
"4257",5187657,"Trash_Multiple_Positive","complete","ESM","response_slider_endValue","8","multiple 72 positive"
"1021",5123496,"Trash_Single_Negative","complete","SEM","response_slider_endValue","5","single 24 negative"
"1903",5123496,"Trash_Single_Negative","complete","SEM","response_slider_endValue","8","single 8 negative"
"3429",5123496,"Trash_Single_Negative","complete","SEM","response_slider_endValue","2","single 72 negative"
"4962",5240494,"Trash_Single_Negative","complete","SEM","response_slider_endValue","10","single 72 negative"
"6001",5240494,"Trash_Single_Negative","complete","SEM","response_slider_endValue","10","single 24 negative"
"6888",5240494,"Trash_Single_Negative","complete","SEM","response_slider_endValue","10","single 8 negative"
"7783",5191080,"Trash_Single_Negative","complete","SEM","response_slider_endValue","-9","single 8 negative"
"8823",5191080,"Trash_Single_Negative","complete","SEM","response_slider_endValue","3","single 24 negative"
"10349",5191080,"Trash_Single_Negative","complete","SEM","response_slider_endValue","5","single 72 negative"
"11244",5190763,"Trash_Single_Negative","complete","SEM","response_slider_endValue","10","single 8 negative"
"12284",5190763,"Trash_Single_Negative","complete","SEM","response_slider_endValue","10","single 24 negative"
"13809",5190763,"Trash_Single_Negative","complete","SEM","response_slider_endValue","10","single 72 negative"
"14864",5181767,"Trash_Single_Negative","complete","SEM","response_slider_endValue","9","single 24 negative"
"16386",5181767,"Trash_Single_Negative","complete","SEM","response_slider_endValue","6","single 72 negative"
"17268",5181767,"Trash_Single_Negative","complete","SEM","response_slider_endValue","4","single 8 negative"
"18162",5169528,"Trash_Single_Negative","complete","SEM","response_slider_endValue","8","single 8 negative"
"19682",5169528,"Trash_Single_Negative","complete","SEM","response_slider_endValue","6","single 72 negative"
"20728",5169528,"Trash_Single_Negative","complete","SEM","response_slider_endValue","4","single 24 negative"
"21621",5151772,"Trash_Single_Negative","complete","SEM","response_slider_endValue","-6","single 8 negative"
"22661",5151772,"Trash_Single_Negative","complete","SEM","response_slider_endValue","-9","single 24 negative"
"24188",5151772,"Trash_Single_Negative","complete","SEM","response_slider_endValue","-4","single 72 negative"
"2572",5132094,"Trash_Single_Negative","complete","SEM","response_slider_endValue","10","single 72 negative"
"26761",5132094,"Trash_Single_Negative","complete","SEM","response_slider_endValue","10","single 24 negative"
"27648",5132094,"Trash_Single_Negative","complete","SEM","response_slider_endValue","10","single 8 negative"
"28702",5122418,"Trash_Single_Negative","complete","SEM","response_slider_endValue","1","single 24 negative"
"29582",5122418,"Trash_Single_Negative","complete","SEM","response_slider_endValue","-3","single 8 negative"
"31106",5122418,"Trash_Single_Negative","complete","SEM","response_slider_endValue","1","single 72 negative"
"32643",5061833,"Trash_Single_Negative","complete","SEM","response_slider_endValue","10","single 72 negative"
"33682",5061833,"Trash_Single_Negative","complete","SEM","response_slider_endValue","-8","single 24 negative"
"34563",5061833,"Trash_Single_Negative","complete","SEM","response_slider_endValue","-10","single 8 negative"
"3546",5056505,"Trash_Single_Negative","complete","SEM","response_slider_endValue","3","single 8 negative"
"36501",5056505,"Trash_Single_Negative","complete","SEM","response_slider_endValue","-5","single 24 negative"
"38021",5056505,"Trash_Single_Negative","complete","SEM","response_slider_endValue","-9","single 72 negative"
"864",5123425,"Empty_Neutral","complete","MES","response_slider_endValue","2","empty 8 neutral"
"1904",5123425,"Empty_Neutral","complete","MES","response_slider_endValue","2","empty 24 neutral"
"34210",5123425,"Empty_Neutral","complete","MES","response_slider_endValue","-5","empty 72 neutral"
"4483",5122214,"Empty_Neutral","complete","MES","response_slider_endValue","3","empty 24 neutral"
"6002",5122214,"Empty_Neutral","complete","MES","response_slider_endValue","5","empty 72 neutral"
"6889",5122214,"Empty_Neutral","complete","MES","response_slider_endValue","6","empty 8 neutral"
"8422",5059559,"Empty_Neutral","complete","MES","response_slider_endValue","10","empty 72 neutral"
"9464",5059559,"Empty_Neutral","complete","MES","response_slider_endValue","5","empty 24 neutral"
"103410",5059559,"Empty_Neutral","complete","MES","response_slider_endValue","9","empty 8 neutral"
"11245",5241123,"Empty_Neutral","complete","MES","response_slider_endValue","0","empty 8 neutral"
"12763",5241123,"Empty_Neutral","complete","MES","response_slider_endValue","-1","empty 72 neutral"
"138010",5241123,"Empty_Neutral","complete","MES","response_slider_endValue","-3","empty 24 neutral"
"14865",5189480,"Empty_Neutral","complete","MES","response_slider_endValue","10","empty 24 neutral"
"1574",5189480,"Empty_Neutral","complete","MES","response_slider_endValue","10","empty 8 neutral"
"17269",5189480,"Empty_Neutral","complete","MES","response_slider_endValue","10","empty 72 neutral"
"18802",5162544,"Empty_Neutral","complete","MES","response_slider_endValue","6","empty 72 neutral"
"19683",5162544,"Empty_Neutral","complete","MES","response_slider_endValue","8","empty 8 neutral"
"20729",5162544,"Empty_Neutral","complete","MES","response_slider_endValue","8","empty 24 neutral"
"21622",5122669,"Empty_Neutral","complete","MES","response_slider_endValue","4","empty 8 neutral"
"22662",5122669,"Empty_Neutral","complete","MES","response_slider_endValue","3","empty 24 neutral"
"24189",5122669,"Empty_Neutral","complete","MES","response_slider_endValue","5","empty 72 neutral"
"25084",5175997,"Empty_Neutral","complete","MES","response_slider_endValue","5","empty 8 neutral"
"26125",5175997,"Empty_Neutral","complete","MES","response_slider_endValue","5","empty 24 neutral"
"27649",5175997,"Empty_Neutral","complete","MES","response_slider_endValue","10","empty 72 neutral"
"865",5229638,"Empty_Positive","complete","MSE","response_slider_endValue","3","empty 8 positive"
"2383",5229638,"Empty_Positive","complete","MSE","response_slider_endValue","5","empty 72 positive"
"34211",5229638,"Empty_Positive","complete","MSE","response_slider_endValue","7","empty 24 positive"
"4963",5189782,"Empty_Positive","complete","MSE","response_slider_endValue","10","empty 72 positive"
"6003",5189782,"Empty_Positive","complete","MSE","response_slider_endValue","10","empty 24 positive"
"68810",5189782,"Empty_Positive","complete","MSE","response_slider_endValue","10","empty 8 positive"
"7784",5186617,"Empty_Positive","complete","MSE","response_slider_endValue","5","empty 8 positive"
"9302",5186617,"Empty_Positive","complete","MSE","response_slider_endValue","3","empty 72 positive"
"103411",5186617,"Empty_Positive","complete","MSE","response_slider_endValue","4","empty 24 positive"
"11246",5180420,"Empty_Positive","complete","MSE","response_slider_endValue","6","empty 8 positive"
"12285",5180420,"Empty_Positive","complete","MSE","response_slider_endValue","6","empty 24 positive"
"138011",5180420,"Empty_Positive","complete","MSE","response_slider_endValue","7","empty 72 positive"
"15344",5153387,"Empty_Positive","complete","MSE","response_slider_endValue","10","empty 72 positive"
"16222",5153387,"Empty_Positive","complete","MSE","response_slider_endValue","10","empty 8 positive"
"172610",5153387,"Empty_Positive","complete","MSE","response_slider_endValue","10","empty 24 positive"
"18163",5132547,"Empty_Positive","complete","MSE","response_slider_endValue","1","empty 8 positive"
"19684",5132547,"Empty_Positive","complete","MSE","response_slider_endValue","2","empty 72 positive"
"207210",5132547,"Empty_Positive","complete","MSE","response_slider_endValue","2","empty 24 positive"
"22263",5123283,"Empty_Positive","complete","MSE","response_slider_endValue","5","empty 72 positive"
"23304",5123283,"Empty_Positive","complete","MSE","response_slider_endValue","1","empty 24 positive"
"241810",5123283,"Empty_Positive","complete","MSE","response_slider_endValue","2","empty 8 positive"
"25721",5122145,"Empty_Positive","complete","MSE","response_slider_endValue","2","empty 72 positive"
"26762",5122145,"Empty_Positive","complete","MSE","response_slider_endValue","3","empty 24 positive"
"276410",5122145,"Empty_Positive","complete","MSE","response_slider_endValue","5","empty 8 positive"
"28703",5057499,"Empty_Positive","complete","MSE","response_slider_endValue","9","empty 24 positive"
"30223",5057499,"Empty_Positive","complete","MSE","response_slider_endValue","6","empty 72 positive"
"31107",5057499,"Empty_Positive","complete","MSE","response_slider_endValue","-4","empty 8 positive"
"1022",5241123,"Trash_Multiple_Negative","complete","MES","response_slider_endValue","5","multiple 24 negative"
"1821",5241123,"Trash_Multiple_Negative","complete","MES","response_slider_endValue","3","noD 0 trial"
"270",5241123,"Trash_Multiple_Negative","complete","MES","response_slider_endValue","2","multiple 8 negative"
"423",5241123,"Trash_Multiple_Negative","complete","MES","response_slider_endValue","-4","multiple 72 negative"
"513",5189480,"Trash_Multiple_Negative","complete","MES","response_slider_endValue","7","multiple 8 negative"
"593",5189480,"Trash_Multiple_Negative","complete","MES","response_slider_endValue","10","noD 0 trial"
"697",5189480,"Trash_Multiple_Negative","complete","MES","response_slider_endValue","10","multiple 24 negative"
"8491",5189480,"Trash_Multiple_Negative","complete","MES","response_slider_endValue","4","multiple 72 negative"
"939",5175997,"Trash_Multiple_Negative","complete","MES","response_slider_endValue","-2","multiple 8 negative"
"1043",5175997,"Trash_Multiple_Negative","complete","MES","response_slider_endValue","5","multiple 24 negative"
