"","PID","status","counterbalance","blockorderA1","blockorderA2","blockorderB2","blockorderB1","condition_1","Zone.Type","ratings","condition_2"
"8662",8204854,"complete","CounterbalanceB",NA,NA,"CAB","CAB","No D Events","response_slider_endValue","5","noD"
"9242",8204361,"complete","CounterbalanceB",NA,NA,"BCA","BCA","No D Events","response_slider_endValue","-3","noD"
"9822",8204029,"complete","CounterbalanceB",NA,NA,"ABC","ABC","No D Events","response_slider_endValue","4","noD"
"10402",8203523,"complete","CounterbalanceB",NA,NA,"CAB","BCA","No D Events","response_slider_endValue","1","noD"
"10982",8203372,"complete","CounterbalanceB",NA,NA,"BCA","ABC","No D Events","response_slider_endValue","-3","noD"
"11562",8186219,"complete","CounterbalanceB",NA,NA,"ABC","CAB","No D Events","response_slider_endValue","1","noD"
"12142",8185751,"complete","CounterbalanceB",NA,NA,"CAB","BCA","No D Events","response_slider_endValue","8","noD"
"12722",8185697,"complete","CounterbalanceB",NA,NA,"BCA","ABC","No D Events","response_slider_endValue","5","noD"
"13302",8185527,"complete","CounterbalanceB",NA,NA,"ABC","CAB","No D Events","response_slider_endValue","5","noD"
"13882",8178022,"complete","CounterbalanceB",NA,NA,"ABC","CAB","No D Events","response_slider_endValue","4","noD"
"14462",8177084,"complete","CounterbalanceB",NA,NA,"ABC","BCA","No D Events","response_slider_endValue","6","noD"
"15042",8177111,"complete","CounterbalanceB",NA,NA,"BCA","CAB","No D Events","response_slider_endValue","-2","noD"
"15621",8213565,"complete","CounterbalanceB",NA,NA,"CAB","BCA","No D Events","response_slider_endValue","0","noD"
"16201",8212018,"complete","CounterbalanceB",NA,NA,"ABC","CAB","No D Events","response_slider_endValue","6","noD"
"16781",8211913,"complete","CounterbalanceB",NA,NA,"ABC","BCA","No D Events","response_slider_endValue","-1","noD"
"543",8185359,"complete","CounterbalanceA","BCA","BCA",NA,NA,"No D Events","response_slider_endValue","5","noD"
"1123",8203404,"complete","CounterbalanceA","BCA","ABC",NA,NA,"No D Events","response_slider_endValue","3","noD"
"1703",8203378,"complete","CounterbalanceA","ABC","CAB",NA,NA,"No D Events","response_slider_endValue","-7","noD"
"2283",8203567,"complete","CounterbalanceA","BCA","BCA",NA,NA,"No D Events","response_slider_endValue","-4","noD"
"2863",8211926,"complete","CounterbalanceA","ABC","BCA",NA,NA,"No D Events","response_slider_endValue","6","noD"
"3443",8213666,"complete","CounterbalanceA","CAB","CAB",NA,NA,"No D Events","response_slider_endValue","-4","noD"
"4023",8213635,"complete","CounterbalanceA","BCA","BCA",NA,NA,"No D Events","response_slider_endValue","-5","noD"
"4603",8213551,"complete","CounterbalanceA","ABC","ABC",NA,NA,"No D Events","response_slider_endValue","7","noD"
"5183",8212009,"complete","CounterbalanceA","BCA","ABC",NA,NA,"No D Events","response_slider_endValue","1","noD"
"5763",8211903,"complete","CounterbalanceA","CAB","BCA",NA,NA,"No D Events","response_slider_endValue","7","noD"
"6343",8211906,"complete","CounterbalanceA","BCA","CAB",NA,NA,"No D Events","response_slider_endValue","2","noD"
"6923",8204347,"complete","CounterbalanceA","BCA","ABC",NA,NA,"No D Events","response_slider_endValue","4","noD"
"7503",8203772,"complete","CounterbalanceA","ABC","CAB",NA,NA,"No D Events","response_slider_endValue","-7","noD"
"8083",8185960,"complete","CounterbalanceA","CAB","BCA",NA,NA,"No D Events","response_slider_endValue","7","noD"
