Event Index,UTC Timestamp,Local Timestamp,Local Timezone,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-sece,branch-52yw,branch-k19s,randomiser-ilmk,order-cg81,order-f5ck,order-w8r4,order-mnhh,order-lgbu,order-f4f2,order-cdib,order-v22n,order-zlxs,order-flk3,order-e65y,order-6gm2,Randomise questionnaire elements?,Question Key,Response
5,1.72E+12,1.72E+12,-7,82781,2,questionnaire-5uc8,,39144686,rn61cgn8,11486001,,complete,eimpnx,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1536x864,1536x695,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,BA,,BA,,No,Gender-quantised,1
6,1.72E+12,1.72E+12,-7,82781,2,questionnaire-5uc8,,39144686,rn61cgn8,11486001,,complete,eimpnx,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1536x864,1536x695,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,BA,,BA,,No,Gender-text,
7,1.72E+12,1.72E+12,-7,82781,2,questionnaire-5uc8,,39144686,rn61cgn8,11486001,,complete,eimpnx,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1536x864,1536x695,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,BA,,BA,,No,seizures,1
8,1.72E+12,1.72E+12,-7,82781,2,questionnaire-5uc8,,39144686,rn61cgn8,11486001,,complete,eimpnx,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1536x864,1536x695,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,BA,,BA,,No,device,1
9,1.72E+12,1.72E+12,-7,82781,2,questionnaire-5uc8,,39144686,rn61cgn8,11486001,,complete,eimpnx,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1536x864,1536x695,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,BA,,BA,,No,consent,1
10,1.72E+12,1.72E+12,-7,82781,2,questionnaire-5uc8,,39144686,rn61cgn8,11486001,,complete,eimpnx,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1536x864,1536x695,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,BA,,BA,,No,END QUESTIONNAIRE,75019
1,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144693,72b3w1md,11486003,,complete,lxuire,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x963,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,BEGIN QUESTIONNAIRE,
2,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144693,72b3w1md,11486003,,complete,lxuire,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1903x963,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,Age,26
3,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144693,72b3w1md,11486003,,complete,lxuire,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1903x963,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,Age-quantised,10
4,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144693,72b3w1md,11486003,,complete,lxuire,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1903x963,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,Gender,Male
5,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144693,72b3w1md,11486003,,complete,lxuire,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1903x963,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,Gender-quantised,1
6,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144693,72b3w1md,11486003,,complete,lxuire,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1903x963,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,Gender-text,
7,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144693,72b3w1md,11486003,,complete,lxuire,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1903x963,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,seizures,1
8,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144693,72b3w1md,11486003,,complete,lxuire,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1903x963,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,device,1
9,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144693,72b3w1md,11486003,,complete,lxuire,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1903x963,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,consent,1
10,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144693,72b3w1md,11486003,,complete,lxuire,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1903x963,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,END QUESTIONNAIRE,10271
1,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144707,9qryibfm,11486005,,complete,gcplle,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1773x997,1773x862,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144707,9qryibfm,11486005,,complete,gcplle,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1773x997,1757x862,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,Age,38
3,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144707,9qryibfm,11486005,,complete,gcplle,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1773x997,1757x862,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,Age-quantised,22
4,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144707,9qryibfm,11486005,,complete,gcplle,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1773x997,1757x862,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,Gender,Male
5,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144707,9qryibfm,11486005,,complete,gcplle,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1773x997,1757x862,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,Gender-quantised,1
6,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144707,9qryibfm,11486005,,complete,gcplle,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1773x997,1757x862,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,Gender-text,
7,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144707,9qryibfm,11486005,,complete,gcplle,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1773x997,1757x862,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,seizures,1
8,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144707,9qryibfm,11486005,,complete,gcplle,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1773x997,1757x862,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,device,1
9,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144707,9qryibfm,11486005,,complete,gcplle,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1773x997,1757x862,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,consent,1
10,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144707,9qryibfm,11486005,,complete,gcplle,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1773x997,1757x862,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,END QUESTIONNAIRE,62844
1,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144726,ythjk1uc,11486009,,complete,zkcbli,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x730,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144726,ythjk1uc,11486009,,complete,zkcbli,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x730,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,Age,33
3,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144726,ythjk1uc,11486009,,complete,zkcbli,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x730,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,Age-quantised,17
4,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144726,ythjk1uc,11486009,,complete,zkcbli,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x730,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,Gender,Male
5,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144726,ythjk1uc,11486009,,complete,zkcbli,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x730,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,Gender-quantised,1
6,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144726,ythjk1uc,11486009,,complete,zkcbli,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x730,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,Gender-text,
7,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144726,ythjk1uc,11486009,,complete,zkcbli,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x730,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,seizures,1
8,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144726,ythjk1uc,11486009,,complete,zkcbli,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x730,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,device,1
9,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144726,ythjk1uc,11486009,,complete,zkcbli,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x730,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,consent,1
10,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144726,ythjk1uc,11486009,,complete,zkcbli,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x730,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,BA,BA,,,,,,,,,No,END QUESTIONNAIRE,13296
1,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144739,ks90oqt9,11486010,,complete,mkgwjy,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x953,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,BEGIN QUESTIONNAIRE,
2,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144739,ks90oqt9,11486010,,complete,mkgwjy,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1903x953,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,Age,38
3,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144739,ks90oqt9,11486010,,complete,mkgwjy,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1903x953,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,Age-quantised,22
4,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144739,ks90oqt9,11486010,,complete,mkgwjy,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1903x953,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,Gender,Male
5,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144739,ks90oqt9,11486010,,complete,mkgwjy,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1903x953,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,Gender-quantised,1
6,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144739,ks90oqt9,11486010,,complete,mkgwjy,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1903x953,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,Gender-text,
7,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144739,ks90oqt9,11486010,,complete,mkgwjy,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1903x953,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,seizures,1
8,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144739,ks90oqt9,11486010,,complete,mkgwjy,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1903x953,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,device,1
9,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144739,ks90oqt9,11486010,,complete,mkgwjy,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1903x953,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,consent,1
10,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144739,ks90oqt9,11486010,,complete,mkgwjy,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1903x953,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,END QUESTIONNAIRE,161199
1,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144742,ydx8tft2,11486011,,complete,jnpmkt,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1440x900,1440x757,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,BEGIN QUESTIONNAIRE,
2,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144742,ydx8tft2,11486011,,complete,jnpmkt,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1440x900,1423x757,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,Age,28
3,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144742,ydx8tft2,11486011,,complete,jnpmkt,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1440x900,1423x757,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,Age-quantised,12
4,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144742,ydx8tft2,11486011,,complete,jnpmkt,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1440x900,1423x757,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,Gender,Female
5,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144742,ydx8tft2,11486011,,complete,jnpmkt,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1440x900,1423x757,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,Gender-quantised,2
6,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144742,ydx8tft2,11486011,,complete,jnpmkt,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1440x900,1423x757,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,Gender-text,
7,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144742,ydx8tft2,11486011,,complete,jnpmkt,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1440x900,1423x757,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,seizures,1
8,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144742,ydx8tft2,11486011,,complete,jnpmkt,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1440x900,1423x757,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,device,1
9,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144742,ydx8tft2,11486011,,complete,jnpmkt,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1440x900,1423x757,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,consent,1
10,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144742,ydx8tft2,11486011,,complete,jnpmkt,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1440x900,1423x757,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,END QUESTIONNAIRE,56721
1,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144745,p2dqlxzz,11486012,,complete,xsxbyk,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,2531x983,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,BA,BA,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144745,p2dqlxzz,11486012,,complete,xsxbyk,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,2508x1052,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,BA,BA,,,,,,,,,,,No,Age,37
3,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144745,p2dqlxzz,11486012,,complete,xsxbyk,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,2508x1052,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,BA,BA,,,,,,,,,,,No,Age-quantised,21
4,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144745,p2dqlxzz,11486012,,complete,xsxbyk,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,2508x1052,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,BA,BA,,,,,,,,,,,No,Gender,Male
5,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144745,p2dqlxzz,11486012,,complete,xsxbyk,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,2508x1052,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,BA,BA,,,,,,,,,,,No,Gender-quantised,1
6,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144745,p2dqlxzz,11486012,,complete,xsxbyk,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,2508x1052,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,BA,BA,,,,,,,,,,,No,Gender-text,
7,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144745,p2dqlxzz,11486012,,complete,xsxbyk,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,2508x1052,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,BA,BA,,,,,,,,,,,No,seizures,1
8,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144745,p2dqlxzz,11486012,,complete,xsxbyk,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,2508x1052,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,BA,BA,,,,,,,,,,,No,device,1
9,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144745,p2dqlxzz,11486012,,complete,xsxbyk,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,2508x1052,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,BA,BA,,,,,,,,,,,No,consent,1
10,1.72E+12,1.72E+12,-4,82781,2,questionnaire-5uc8,,39144745,p2dqlxzz,11486012,,complete,xsxbyk,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,2508x1052,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,BA,BA,,,,,,,,,,,No,END QUESTIONNAIRE,18301
1,1.72E+12,1.72E+12,2,82781,2,questionnaire-5uc8,,39144748,3zudg1s5,11486013,,complete,xbkrgb,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1920x879,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,AB,AB,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1.72E+12,1.72E+12,2,82781,2,questionnaire-5uc8,,39144748,3zudg1s5,11486013,,complete,xbkrgb,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1899x879,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,AB,AB,,,,,,,,,No,Age,45
3,1.72E+12,1.72E+12,2,82781,2,questionnaire-5uc8,,39144748,3zudg1s5,11486013,,complete,xbkrgb,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1899x879,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,AB,AB,,,,,,,,,No,Age-quantised,29
4,1.72E+12,1.72E+12,2,82781,2,questionnaire-5uc8,,39144748,3zudg1s5,11486013,,complete,xbkrgb,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1899x879,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,AB,AB,,,,,,,,,No,Gender,Male
5,1.72E+12,1.72E+12,2,82781,2,questionnaire-5uc8,,39144748,3zudg1s5,11486013,,complete,xbkrgb,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1899x879,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,AB,AB,,,,,,,,,No,Gender-quantised,1
6,1.72E+12,1.72E+12,2,82781,2,questionnaire-5uc8,,39144748,3zudg1s5,11486013,,complete,xbkrgb,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1899x879,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,AB,AB,,,,,,,,,No,Gender-text,
7,1.72E+12,1.72E+12,2,82781,2,questionnaire-5uc8,,39144748,3zudg1s5,11486013,,complete,xbkrgb,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1899x879,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,AB,AB,,,,,,,,,No,seizures,1
8,1.72E+12,1.72E+12,2,82781,2,questionnaire-5uc8,,39144748,3zudg1s5,11486013,,complete,xbkrgb,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1899x879,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,AB,AB,,,,,,,,,No,device,1
9,1.72E+12,1.72E+12,2,82781,2,questionnaire-5uc8,,39144748,3zudg1s5,11486013,,complete,xbkrgb,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1899x879,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,AB,AB,,,,,,,,,No,consent,1
10,1.72E+12,1.72E+12,2,82781,2,questionnaire-5uc8,,39144748,3zudg1s5,11486013,,complete,xbkrgb,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1899x879,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SEN,,,AB,AB,,,,,,,,,No,END QUESTIONNAIRE,16685
1,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144753,dky0kbek,11486015,,complete,hshtjc,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1366x641,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ENS,,,,,,,,,,BA,,BA,No,BEGIN QUESTIONNAIRE,
2,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144753,dky0kbek,11486015,,complete,hshtjc,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1079x513,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ENS,,,,,,,,,,BA,,BA,No,Age,39
3,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144753,dky0kbek,11486015,,complete,hshtjc,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1079x513,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ENS,,,,,,,,,,BA,,BA,No,Age-quantised,23
4,1.72E+12,1.72E+12,5.5,82781,2,questionnaire-5uc8,,39144753,dky0kbek,11486015,,complete,hshtjc,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1079x513,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ENS,,,,,,,,,,BA,,BA,No,Gender,Male
