Event Index,UTC Timestamp,Local Timestamp,Local Timezone,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-sece,branch-52yw,branch-k19s,randomiser-ilmk,order-cg81,order-f5ck,order-w8r4,order-mnhh,order-lgbu,order-f4f2,order-cdib,order-v22n,order-zlxs,order-flk3,order-e65y,order-6gm2,Randomise questionnaire elements?,Question Key,Response
1,1.64635E+12,1.64635E+12,0,74297,30,questionnaire-5uc8,,20041586,11727,5936792,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.5,Chrome 98.0.4758.109,1440x900,1440x821,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,BEGIN QUESTIONNAIRE,
2,1.64635E+12,1.64635E+12,0,74297,30,questionnaire-5uc8,,20041586,11727,5936792,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.5,Chrome 98.0.4758.109,1440x900,1440x821,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,Age,19
3,1.64635E+12,1.64635E+12,0,74297,30,questionnaire-5uc8,,20041586,11727,5936792,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.5,Chrome 98.0.4758.109,1440x900,1440x821,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,Age-quantised,3
4,1.64635E+12,1.64635E+12,0,74297,30,questionnaire-5uc8,,20041586,11727,5936792,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.5,Chrome 98.0.4758.109,1440x900,1440x821,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,Gender,Female
5,1.64635E+12,1.64635E+12,0,74297,30,questionnaire-5uc8,,20041586,11727,5936792,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.5,Chrome 98.0.4758.109,1440x900,1440x821,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,Gender-quantised,2
6,1.64635E+12,1.64635E+12,0,74297,30,questionnaire-5uc8,,20041586,11727,5936792,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.5,Chrome 98.0.4758.109,1440x900,1440x821,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,Gender-text,
7,1.64635E+12,1.64635E+12,0,74297,30,questionnaire-5uc8,,20041586,11727,5936792,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.5,Chrome 98.0.4758.109,1440x900,1440x821,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,seizures,1
8,1.64635E+12,1.64635E+12,0,74297,30,questionnaire-5uc8,,20041586,11727,5936792,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.5,Chrome 98.0.4758.109,1440x900,1440x821,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,device,1
9,1.64635E+12,1.64635E+12,0,74297,30,questionnaire-5uc8,,20041586,11727,5936792,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.5,Chrome 98.0.4758.109,1440x900,1440x821,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,consent,1
10,1.64635E+12,1.64635E+12,0,74297,30,questionnaire-5uc8,,20041586,11727,5936792,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.5,Chrome 98.0.4758.109,1440x900,1440x821,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,SNE,,,,,,,,,AB,,AB,,No,END QUESTIONNAIRE,30686
1,1.64641E+12,1.64641E+12,0,74297,30,questionnaire-5uc8,,20079735,11810,5946414,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.109,1440x900,1440x692,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,AB,AB,,,,,,,,,,,No,BEGIN QUESTIONNAIRE,
2,1.64641E+12,1.64641E+12,0,74297,30,questionnaire-5uc8,,20079735,11810,5946414,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.109,1440x900,1440x692,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,AB,AB,,,,,,,,,,,No,Age,19
3,1.64641E+12,1.64641E+12,0,74297,30,questionnaire-5uc8,,20079735,11810,5946414,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.109,1440x900,1440x692,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,AB,AB,,,,,,,,,,,No,Age-quantised,3
4,1.64641E+12,1.64641E+12,0,74297,30,questionnaire-5uc8,,20079735,11810,5946414,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.109,1440x900,1440x692,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,AB,AB,,,,,,,,,,,No,Gender,Female
5,1.64641E+12,1.64641E+12,0,74297,30,questionnaire-5uc8,,20079735,11810,5946414,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.109,1440x900,1440x692,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,AB,AB,,,,,,,,,,,No,Gender-quantised,2
6,1.64641E+12,1.64641E+12,0,74297,30,questionnaire-5uc8,,20079735,11810,5946414,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.109,1440x900,1440x692,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,AB,AB,,,,,,,,,,,No,Gender-text,
7,1.64641E+12,1.64641E+12,0,74297,30,questionnaire-5uc8,,20079735,11810,5946414,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.109,1440x900,1440x692,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,AB,AB,,,,,,,,,,,No,seizures,1
8,1.64641E+12,1.64641E+12,0,74297,30,questionnaire-5uc8,,20079735,11810,5946414,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.109,1440x900,1440x692,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,AB,AB,,,,,,,,,,,No,device,1
9,1.64641E+12,1.64641E+12,0,74297,30,questionnaire-5uc8,,20079735,11810,5946414,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.109,1440x900,1440x692,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,AB,AB,,,,,,,,,,,No,consent,1
10,1.64641E+12,1.64641E+12,0,74297,30,questionnaire-5uc8,,20079735,11810,5946414,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.109,1440x900,1440x692,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ESN,AB,AB,,,,,,,,,,,No,END QUESTIONNAIRE,23389
1,1.64642E+12,1.64642E+12,0,74297,30,questionnaire-5uc8,,20084755,11683,5947992,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1280x720,1280x601,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NES,,,,,AB,AB,,,,,,,No,BEGIN QUESTIONNAIRE,
